# t Temp Pres Epot Etot
0.000000 2.028267 28.076800 -1441.200946 -662.346529
0.050000 2.009747 29.036314 -1396.922227 -625.179271
0.100000 2.008004 27.927575 -1447.693674 -676.620109
0.150000 1.974007 27.385289 -1473.021318 -715.002637
0.200000 1.963249 30.334309 -1336.795791 -582.908289
0.250000 2.034419 29.795943 -1365.793483 -584.576650
0.300000 2.001754 29.373754 -1384.102829 -615.429319
0.350000 2.002132 28.003237 -1443.468146 -674.649399
0.400000 1.986036 28.790282 -1407.856096 -645.218126
0.450000 2.005672 28.347502 -1429.028074 -658.850196
0.500000 1.986982 28.875522 -1404.571334 -641.570063
0.550000 1.996248 29.090862 -1395.469406 -628.910109
0.600000 2.028565 29.731937 -1369.144853 -590.175904
0.650000 1.990443 28.681553 -1413.193111 -648.863146
0.700000 1.963523 28.366313 -1427.821754 -673.829058
0.750000 1.964846 28.953222 -1399.500650 -644.999884
0.800000 1.977202 28.870249 -1403.267024 -644.021334
0.850000 2.004386 29.884173 -1357.523616 -587.839356
0.900000 1.974443 27.351757 -1472.278002 -714.092005
0.950000 2.007340 27.166404 -1481.870131 -711.051485
1.000000 1.959165 29.385473 -1376.877632 -624.558428
1.050000 1.998456 29.829947 -1360.644446 -593.237350
1.100000 1.990426 29.483426 -1375.088122 -610.764425
1.150000 2.049433 28.889821 -1407.871735 -620.889635
1.200000 1.985971 28.272507 -1430.323725 -667.710966
1.250000 1.977719 29.509831 -1372.868938 -613.424897
1.300000 2.036093 28.590962 -1420.246610 -638.386961
1.350000 2.006001 28.034303 -1439.349689 -669.045296
1.400000 1.974492 29.087590 -1392.846150 -634.641036
1.450000 2.005570 27.617125 -1462.287531 -692.148816
1.500000 1.976779 29.370650 -1379.340696 -620.257421
1.550000 1.995878 29.267024 -1388.942586 -622.525373
1.600000 2.004111 28.819109 -1409.699376 -640.120883
1.650000 2.003263 28.737825 -1411.116331 -641.863479
1.700000 2.033290 28.580110 -1417.642747 -636.859440
1.750000 1.976255 28.288949 -1429.933057 -671.051044
1.800000 2.027152 28.973387 -1402.795520 -624.369295
1.850000 2.027895 28.757188 -1411.506518 -632.794685
1.900000 1.981054 28.564437 -1415.605812 -654.880991
1.950000 1.993921 28.684655 -1409.176310 -643.510764
2.000000 2.002842 28.903240 -1400.998027 -631.906881
2.050000 1.993003 30.787804 -1317.276305 -551.963023
2.100000 2.013944 27.846532 -1449.168233 -675.813649
2.150000 1.975755 28.027267 -1439.553758 -680.863985
2.200000 2.005443 28.700263 -1411.427470 -641.337341
2.250000 1.954748 28.671330 -1412.658187 -662.034957
2.300000 1.998361 30.195924 -1344.252069 -576.881429
2.350000 2.082447 29.598311 -1378.422086 -578.762610
2.400000 1.989917 27.699569 -1458.004920 -693.876657
2.450000 1.980911 28.540607 -1418.810792 -658.140912
2.500000 2.009651 30.020980 -1352.971933 -581.265768
2.550000 1.998998 28.404403 -1427.243575 -659.628501
2.600000 1.972170 29.506371 -1375.300964 -617.987567
2.650000 2.014003 29.228006 -1388.870456 -615.493120
2.700000 2.010572 28.977742 -1396.912933 -624.853342
2.750000 2.019137 28.570746 -1420.984334 -645.635782
2.800000 1.971278 28.324252 -1428.733566 -671.762749
2.850000 1.983602 29.533710 -1376.798659 -615.095646
2.900000 2.047793 29.136715 -1394.215082 -607.862672
2.950000 1.983866 28.913443 -1403.180920 -641.376459
3.000000 1.960331 27.856909 -1448.143841 -695.376692
3.050000 1.964225 30.993402 -1304.198318 -549.935741
3.100000 2.043735 29.300891 -1386.952455 -602.158152
3.150000 2.001023 28.040420 -1440.607305 -672.214472
3.200000 2.015861 28.032586 -1443.803310 -669.712571
3.250000 1.972615 29.175398 -1388.678486 -631.194506
3.300000 2.077990 28.546342 -1419.016819 -621.068827
3.350000 1.985337 27.785560 -1451.155774 -688.786338
3.400000 1.954554 28.337420 -1426.751037 -676.202263
3.450000 1.979651 30.807190 -1316.693048 -556.506946
3.500000 2.070658 28.777411 -1415.387841 -620.255275
3.550000 2.014050 29.289221 -1385.269259 -611.874033
3.600000 1.979964 28.181901 -1434.625036 -674.318869
3.650000 1.997609 29.302192 -1386.364217 -619.282304
3.700000 1.997953 27.973677 -1445.268567 -678.054472
3.750000 1.974900 28.277895 -1429.602824 -671.241122
3.800000 1.996413 29.597545 -1373.394777 -606.772245
3.850000 1.990389 29.233732 -1389.815697 -625.506376
3.900000 2.014794 28.558675 -1420.436580 -646.755725
3.950000 1.990745 29.716710 -1365.504099 -601.057990
4.000000 2.013870 29.777398 -1364.263153 -590.936903
4.050000 1.984294 27.859455 -1452.189729 -690.220941
4.100000 2.025115 28.881082 -1407.803466 -630.159353
4.150000 1.979581 29.271494 -1387.949028 -627.789747
4.200000 2.035302 28.516532 -1424.381770 -642.825956
4.250000 1.992072 28.311375 -1430.871085 -665.915259
4.300000 2.009006 27.858568 -1453.511032 -682.052581
4.350000 1.998471 29.642815 -1369.661026 -602.248273
4.400000 2.031802 28.247644 -1433.359403 -653.147574
4.450000 1.973676 28.169753 -1433.996932 -676.105160
4.500000 1.989104 28.795205 -1409.179771 -645.363790
4.550000 1.997157 29.824809 -1364.309767 -597.401442
4.600000 2.031872 28.834246 -1408.515016 -628.276190
4.650000 2.013795 28.448024 -1423.334848 -650.037731
4.700000 1.992920 28.662943 -1416.676395 -651.395079
4.750000 1.970545 28.362381 -1428.870183 -672.180998
4.800000 2.030753 28.593254 -1418.933179 -639.124108
4.850000 1.974992 28.046736 -1439.293191 -680.896082
4.900000 1.966866 29.039127 -1396.071993 -640.795633
4.950000 1.999278 28.640886 -1417.070386 -649.347790
5.000000 2.011715 28.946285 -1402.008978 -629.510469
5.050000 2.005417 28.185433 -1436.446209 -666.366123
5.100000 1.994787 28.165533 -1439.759542 -673.761266
5.150000 2.021599 29.804562 -1366.011725 -589.717594
5.200000 1.993907 29.918619 -1354.576161 -588.915865
5.250000 1.957875 29.996724 -1354.183477 -602.359573
5.300000 2.019162 27.683301 -1459.729918 -684.371739
5.350000 1.998115 27.755376 -1451.867739 -684.591427
